sectionID,parentID,sectionName,parentName,length,sectionType
158,156,L5PCtemplate[0].apic[73],L5PCtemplate[0].apic[71],69.15071758474484,apic
159,153,L5PCtemplate[0].apic[74],L5PCtemplate[0].apic[68],38.774539997480616,apic
160,159,L5PCtemplate[0].apic[75],L5PCtemplate[0].apic[74],71.49564640212412,apic
161,160,L5PCtemplate[0].apic[76],L5PCtemplate[0].apic[75],136.94997914832447,apic
162,160,L5PCtemplate[0].apic[77],L5PCtemplate[0].apic[75],140.41547243920786,apic
163,159,L5PCtemplate[0].apic[78],L5PCtemplate[0].apic[74],119.57755938958596,apic
164,88,L5PCtemplate[0].apic[79],L5PCtemplate[0].apic[3],77.87637870283184,apic
165,87,L5PCtemplate[0].apic[80],L5PCtemplate[0].apic[2],21.46508897772725,apic
166,165,L5PCtemplate[0].apic[81],L5PCtemplate[0].apic[80],12.909751224132606,apic
167,166,L5PCtemplate[0].apic[82],L5PCtemplate[0].apic[81],34.117982783514755,apic
168,167,L5PCtemplate[0].apic[83],L5PCtemplate[0].apic[82],75.55456514898529,apic
169,168,L5PCtemplate[0].apic[84],L5PCtemplate[0].apic[83],48.64620796522816,apic
170,168,L5PCtemplate[0].apic[85],L5PCtemplate[0].apic[83],81.1539525251044,apic
171,167,L5PCtemplate[0].apic[86],L5PCtemplate[0].apic[82],85.39420715568633,apic
172,166,L5PCtemplate[0].apic[87],L5PCtemplate[0].apic[81],151.76435292719657,apic
173,165,L5PCtemplate[0].apic[88],L5PCtemplate[0].apic[80],6.0705858659896546,apic
174,173,L5PCtemplate[0].apic[89],L5PCtemplate[0].apic[88],49.63104106001424,apic
175,174,L5PCtemplate[0].apic[90],L5PCtemplate[0].apic[89],7.476266408729604,apic
176,174,L5PCtemplate[0].apic[91],L5PCtemplate[0].apic[89],11.058417897207335,apic
177,173,L5PCtemplate[0].apic[92],L5PCtemplate[0].apic[88],20.73033724544678,apic
178,177,L5PCtemplate[0].apic[93],L5PCtemplate[0].apic[92],105.04203834398501,apic
179,177,L5PCtemplate[0].apic[94],L5PCtemplate[0].apic[92],20.32434950569892,apic
180,179,L5PCtemplate[0].apic[95],L5PCtemplate[0].apic[94],52.488860434950396,apic
181,179,L5PCtemplate[0].apic[96],L5PCtemplate[0].apic[94],33.25515667837315,apic
182,181,L5PCtemplate[0].apic[97],L5PCtemplate[0].apic[96],10.545443825655823,apic
183,181,L5PCtemplate[0].apic[98],L5PCtemplate[0].apic[96],5.817992372140609,apic
184,86,L5PCtemplate[0].apic[99],L5PCtemplate[0].apic[1],32.5988739280246,apic
185,184,L5PCtemplate[0].apic[100],L5PCtemplate[0].apic[99],5.582459739998661,apic
186,185,L5PCtemplate[0].apic[101],L5PCtemplate[0].apic[100],159.39240565645844,apic
187,185,L5PCtemplate[0].apic[102],L5PCtemplate[0].apic[100],179.49577567548425,apic
188,184,L5PCtemplate[0].apic[103],L5PCtemplate[0].apic[99],83.41231965098439,apic
189,85,L5PCtemplate[0].apic[104],L5PCtemplate[0].apic[0],23.34427082953329,apic
190,189,L5PCtemplate[0].apic[105],L5PCtemplate[0].apic[104],93.67879065882175,apic
191,189,L5PCtemplate[0].apic[106],L5PCtemplate[0].apic[104],22.085165526206854,apic
192,191,L5PCtemplate[0].apic[107],L5PCtemplate[0].apic[106],36.0978256211796,apic
193,191,L5PCtemplate[0].apic[108],L5PCtemplate[0].apic[106],30.074693145727913,apic
